name,category,latitude,longitude,cluster_label,is_hotspot
Cafe Lota,cafe,28.6131498,77.2426321,-1,False
Yes Please Guest House,hotel,28.6405886,77.21269,0,True
Unknown,parking,28.6312911,77.2214543,0,True
Pind Balluchi,restaurant,28.6291804,77.219755,0,True
Jaypee Siddharth,hotel,28.6424826,77.1755884,0,True
Bharat Petroleum,fuel,28.6415227,77.2258674,0,True
Unknown,fuel,28.6444395,77.1987994,0,True
Unknown,fuel,28.6450079,77.1989094,0,True
The Walled City,cafe,28.6491519,77.232748,2,False
Chili's,restaurant,28.6315666,77.2223238,0,True
Chaayos,cafe,28.6315876,77.2222789,0,True
Oriental Bank of Commerce,bank,28.6317429,77.222079,0,True
Unknown,hotel,28.6450395,77.2138161,0,True
Rodeo,restaurant,28.633169,77.2179864,0,True
Western Court Bus Terminus,bus_station,28.6233298,77.2184168,0,True
Hotel Perfect,hotel,28.6456337,77.1876083,0,True
The Chai Kafe,cafe,28.6343655,77.2179596,0,True
Cafe Coffee Day,cafe,28.64467,77.2402214,2,False
HP,fuel,28.6378975,77.2413599,2,False
Unknown,hotel,28.6435611,77.2113187,0,True
Indian Oil,fuel,28.6673165,77.2201688,-1,False
Unknown,fuel,28.6504266,77.2684268,-1,False
Unknown,fuel,28.6726878,77.2524636,-1,False
Unknown,fuel,28.672626,77.2528108,-1,False
Hotel Bella Vista,hotel,28.6405914,77.2086727,0,True
HDFC Bank,bank,28.6621608,77.2068111,-1,False
24Seven,convenience,28.6437668,77.1889611,0,True
City Hospital,other,28.6439995,77.1912841,0,True
Bharat Petroleum,fuel,28.6425083,77.1764239,0,True
Indian Overseas Bank,bank,28.6650237,77.2145536,-1,False
Unknown,convenience,28.643629,77.2183234,0,True
Apollo Pharmacy,pharmacy,28.6337914,77.217038,0,True
Oriental Garden Chinese,restaurant,28.6339281,77.217254,0,True
State Bank of India,bank,28.6336342,77.2169575,0,True
Xero degrees,restaurant,28.6337075,77.2169847,0,True
Medicine House,pharmacy,28.6338871,77.2173285,0,True
Nath Brothers,pharmacy,28.6338668,77.2173585,0,True
Kotak Mahindra Bank,bank,28.6326368,77.2167019,0,True
Citibank,bank,28.6298283,77.213752,0,True
Padmanabham,restaurant,28.6271703,77.2197132,0,True
ICICI Bank,bank,28.6297605,77.217177,0,True
Palika Bazar,convenience,28.6307613,77.2189172,0,True
Cafe Coffee Day,cafe,28.6339716,77.2180188,0,True
Regent Grand,hotel,28.6431542,77.1731025,0,True
The Royal Plaza,hotel,28.6216848,77.2170271,0,True
Sharavana Bhavan,restaurant,28.632007,77.2176823,0,True
Unknown,hotel,28.6410969,77.2094428,0,True
Hotel Ashoka Palace,hotel,28.6461431,77.2136027,0,True
S.S. Medicos,pharmacy,28.5880799,77.1687667,6,False
Unknown,bank,28.6290782,77.2202827,0,True
Karachi Bakery,bakery,28.6296792,77.2320648,0,True
Hotel Sun International,hotel,28.6459101,77.2158549,0,True
Bawarchi khana,restaurant,28.6578827,77.1888491,-1,False
Jain coffee house,cafe,28.650606,77.2295833,2,False
Prínce Palace Deluxe,hotel,28.6403897,77.2113664,0,True
Diamond restaurant,restaurant,28.6410202,77.2126034,0,True
Yes Bank,bank,28.6442725,77.2006899,0,True
Central Bank of India,bank,28.6441263,77.2010453,0,True
The Junkyard Cafe,cafe,28.6303838,77.2207212,0,True
Government Sarvoday Bal Vidyalaya,other,28.6327017,77.2303905,0,True
Grand Singh restaurant,restaurant,28.6407001,77.211572,0,True
Indian Oil,fuel,28.6346388,77.2212509,0,True
Mother India,restaurant,28.6353515,77.2190315,0,True
United Coffee House,restaurant,28.6323784,77.2213733,0,True
Véda,restaurant,28.6350577,77.2181263,0,True
Wagh Bakri Tea Lounge,cafe,28.6343528,77.2220221,0,True
Unplugged Courtyard,restaurant,28.6344013,77.2214575,0,True
Punjab National Bank,bank,28.6351302,77.2210229,0,True
Hard Rock Cafe,restaurant,28.6291307,77.2197582,0,True
Local,restaurant,28.6298758,77.2210617,0,True
Hotel Taj Princess,hotel,28.6457601,77.1885161,0,True
Mittal Teas,cafe,28.6299698,77.2229648,0,True
Wood Castle Hotel,hotel,28.6444688,77.1833317,0,True
Bank of India,bank,28.5922707,77.2222351,-1,False
Cafe Coffee Day,cafe,28.6330613,77.2198505,0,True
Unknown,cafe,28.6260819,77.2327012,0,True
Triveni Terrace Cafe,restaurant,28.627319,77.2326929,0,True
Unknown,cafe,28.6252689,77.232639,0,True
Hotel La Suite,hotel,28.6422809,77.1744128,0,True
Cafe Coffee Day,cafe,28.6383221,77.1805949,0,True
State Bank of India,bank,28.637461,77.1814651,0,True
24Seven,convenience,28.6394083,77.1786423,0,True
24Seven,convenience,28.6433605,77.172539,0,True
Hotel Merry Gold,hotel,28.6409145,77.2105408,0,True
Rajasthali,restaurant,28.6347294,77.2203803,0,True
Hotmess,restaurant,28.6325274,77.2223125,0,True
HDFC Bank,bank,28.6293059,77.2319758,0,True
Bagundi,restaurant,28.6317221,77.22247,0,True
Hotel Raj Villa,hotel,28.6408602,77.2094999,0,True
Unknown,fuel,28.6184777,77.2485296,-1,False
Indian Oil,fuel,28.617889,77.2487546,-1,False
Swami Hariharanand Public School,other,28.6627534,77.2403662,-1,False
Unknown,fuel,28.608699,77.2528266,-1,False
Bharat Petroleum,fuel,28.5894992,77.2459159,3,False
Canara Bank,bank,28.6198985,77.2106056,0,True
Hotel Rosette,hotel,28.6446872,77.2153832,0,True
Blue Tokai Coffee Roasters,cafe,28.6309899,77.2218384,0,True
Mohit Guest House,hotel,28.6413569,77.2133521,0,True
UCO Bank,bank,28.6229665,77.211944,0,True
Bank of Maharashtra,bank,28.6345172,77.2195629,0,True
Cafe Coffee Day,cafe,28.6343112,77.2194624,0,True
Zen,restaurant,28.6342714,77.2192315,0,True
Cafe Coffee Day,cafe,28.6336036,77.2178165,0,True
The Big Chill,restaurant,28.6342817,77.2190663,0,True
Unknown,fuel,28.6401874,77.2564926,-1,False
Unknown,other,28.6581566,77.1940384,-1,False
24Seven,convenience,28.6594663,77.1912379,-1,False
Indian Oil,fuel,28.657125,77.1960191,-1,False
Unknown,bakery,28.640169,77.2116987,0,True
Unknown,bakery,28.6430359,77.2177296,0,True
ICICI Bank,bank,28.6591084,77.2127493,-1,False
Kotak Mahindra Bank,bank,28.6602835,77.2131021,-1,False
State Bank of India,bank,28.6590026,77.2127144,-1,False
Unknown,bank,28.6601611,77.2130942,-1,False
The Corus Hotel,hotel,28.6340937,77.2186621,0,True
OTB Café,cafe,28.6343601,77.2182711,0,True
Unknown,cafe,28.6520332,77.220882,0,True
Bistrot 55,restaurant,28.6409128,77.2136434,0,True
The Art House Cafe,restaurant,28.6305595,77.2212797,0,True
Shake Square,restaurant,28.634703,77.2205246,0,True
Open Hand Cafe (top top ;),cafe,28.6405754,77.2117485,0,True
Bank of India,bank,28.6473546,77.1879785,0,True
State Bank of India,bank,28.6539198,77.191078,0,True
The Feast House,restaurant,28.643686,77.1882167,0,True
Punjab National Bank,bank,28.6522781,77.1918029,0,True
Fish Point,restaurant,28.6497142,77.2343609,2,False
Sorento,restaurant,28.6209452,77.2180853,0,True
Unknown,restaurant,28.6013446,77.2410517,4,False
